DATOS HORARIOS GENERADOS CON EL EXPLORADOR DE ENERGIA SOLAR PARA UN ANIO METEOROLOGICO TIPICO
""
-----------------------------------------------------------------------------------------
DESCRIPCION,Datos para la evaluacion de la radiacion solar generados con un modelo de transferencia radiativa
VERSION DEL MODELO,2.0
FUENTE,Ministerio de Energia / Departamento de Geofisica Universidad de Chile
CONTACTO,ernc@dgf.uchile.cl
-----------------------------------------------------------------------------------------
""
CARACTERISTICAS DEL SITIO
NOMBRE DEL SITIO,S1
LATITUD,-33.50265847815711
LONGITUD,-70.70821188888439
ALTURA,518.0
""
-----------------------------------------------------------------------------------------
PERIODO DE DATOS
FECHA INICIAL,2004-01-01 00:00:00
FECHA FINAL,2016-12-18 23:00:00
INTERVALO,60 minutos
METODO DE CALCULO,Promedio de valores instantaneos cada 10 minutos
""
-----------------------------------------------------------------------------------------
VARIABLES INCLUIDAS
""
VARIABLE,UNIDAD,DESCRIPCION
glb,W/m2,Radiacion Global
dir,W/m2,Radiacion Directa
dif,W/m2,Radiacion Difusa
sct,W/m2,Radiacion Difusa Reflejada
ghi,W/m2,Radiacion Global Horizontal
dirh,W/m2,Radiacion Directa
difh,W/m2,Radiacion Difusa
dni,W/m2,Radiacion Directa Normal
temp,C,Temperatura en 2 metros (Corejida)
vel,m/s,Velocidad de Viento
shadow,0 = Sin; 1 = Con (inc. la noche);,Presencia de sombras debido a la topografia
cloud,"1=Si, 0=No",Presencia de nubes
""
-----------------------------------------------------------------------------------------
""
Fecha/Hora,glb,dir,dif,sct,ghi,dirh,difh,dni,temp,vel,shadow,cloud
2007-01-01 00:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.03,1.38,1.00,0.00
2007-01-01 01:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.60,1.26,1.00,0.00
2007-01-01 02:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.88,0.86,1.00,0.00
2007-01-01 03:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.85,0.68,1.00,0.00
2007-01-01 04:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.81,0.56,1.00,0.00
2007-01-01 05:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.87,0.49,1.00,0.00
2007-01-01 06:00:00,16.43,0.00,15.62,0.81,39.28,22.20,17.08,357.52,14.36,0.41,0.00,0.00
2007-01-01 07:00:00,86.45,38.27,43.24,4.94,240.60,193.32,47.28,738.28,13.73,0.57,0.00,0.00
2007-01-01 08:00:00,319.02,248.84,60.69,9.50,462.96,396.60,66.36,865.00,15.75,0.54,0.00,0.00
2007-01-01 09:00:00,555.26,467.11,74.33,13.82,673.52,592.24,81.28,927.55,18.42,0.84,0.00,0.00
2007-01-01 10:00:00,762.46,659.91,85.03,17.52,853.76,760.78,92.98,963.22,21.81,1.21,0.00,0.00
2007-01-01 11:00:00,919.94,806.89,92.75,20.30,989.38,887.96,101.42,984.29,24.83,1.89,0.00,0.00
2007-01-01 12:00:00,1010.19,891.28,97.03,21.87,1066.08,959.98,106.10,992.15,26.84,2.38,0.00,0.00
2007-01-01 13:00:00,1028.56,908.52,97.85,22.18,1081.36,974.36,107.00,992.36,28.24,3.10,0.00,0.00
2007-01-01 14:00:00,973.68,857.25,95.22,21.22,1034.20,930.08,104.12,985.28,29.73,3.33,0.00,0.00
2007-01-01 15:00:00,851.52,743.14,89.31,19.07,929.46,831.80,97.66,971.22,29.18,3.50,0.00,0.00
2007-01-01 16:00:00,671.01,574.86,80.28,15.87,773.68,685.90,87.78,945.74,28.31,3.44,0.00,0.00
2007-01-01 17:00:00,448.90,368.73,68.30,11.88,578.96,504.28,74.68,901.57,26.89,3.30,0.00,0.00
2007-01-01 18:00:00,208.99,148.49,53.12,7.39,360.00,301.92,58.08,815.84,25.60,3.14,0.00,0.00
2007-01-01 19:00:00,35.81,0.00,32.90,2.91,141.82,105.84,35.98,621.82,23.81,2.72,0.00,0.00
2007-01-01 20:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.00,2.31,1.00,0.00
2007-01-01 21:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.52,1.96,1.00,0.00
2007-01-01 22:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.44,1.44,1.00,0.00
2007-01-01 23:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.87,1.38,1.00,0.00
2007-01-02 00:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.11,1.14,1.00,0.00
2007-01-02 01:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.72,0.80,1.00,0.00
2007-01-02 02:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.12,0.59,1.00,0.00
2007-01-02 03:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.42,0.46,1.00,0.00
2007-01-02 04:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.53,0.45,1.00,0.00
2007-01-02 05:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.82,0.42,1.00,0.00
2007-01-02 06:00:00,15.95,0.00,15.16,0.78,38.14,21.56,16.58,361.41,14.44,0.42,0.00,0.00
2007-01-02 07:00:00,85.37,37.26,43.17,4.94,240.76,193.56,47.20,745.92,15.13,0.56,0.00,0.00
2007-01-02 08:00:00,319.20,249.04,60.65,9.51,463.66,397.34,66.32,870.75,16.75,0.63,0.00,0.00
2007-01-02 09:00:00,557.53,469.23,74.42,13.87,676.10,594.72,81.38,933.99,19.67,0.84,0.00,0.00
2007-01-02 10:00:00,767.11,664.22,85.27,17.61,858.50,765.26,93.24,970.60,22.53,1.24,0.00,0.00
2007-01-02 11:00:00,926.68,813.17,93.08,20.43,995.94,894.16,101.78,992.32,25.24,1.89,0.00,0.00
2007-01-02 12:00:00,1020.13,900.54,97.52,22.07,1075.80,969.16,106.64,1002.23,27.16,2.46,0.00,0.00
2007-01-02 13:00:00,1041.27,920.30,98.53,22.44,1093.84,986.10,107.74,1004.49,28.32,3.05,0.00,0.00
2007-01-02 14:00:00,988.31,870.77,96.02,21.51,1048.66,943.66,105.00,999.48,29.32,3.28,0.00,0.00
2007-01-02 15:00:00,865.58,756.08,90.13,19.36,943.66,845.10,98.56,986.23,28.90,3.36,0.00,0.00
2007-01-02 16:00:00,683.73,586.54,81.04,16.15,787.00,698.38,88.62,961.99,28.07,3.31,0.00,0.00
2007-01-02 17:00:00,458.94,377.85,68.97,12.11,590.50,515.08,75.42,919.45,26.97,3.16,0.00,0.00
2007-01-02 18:00:00,214.12,153.01,53.57,7.53,367.08,308.50,58.58,831.80,25.49,2.97,0.00,0.00
2007-01-02 19:00:00,36.16,0.00,33.18,2.98,145.10,108.82,36.28,636.76,23.32,2.47,0.00,0.00
2007-01-02 20:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.83,1.92,1.00,0.00
2007-01-02 21:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.15,1.58,1.00,0.00
2007-01-02 22:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.93,1.09,1.00,0.00
2007-01-02 23:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.99,0.92,1.00,0.00
2007-01-03 00:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.15,0.64,1.00,0.00
2007-01-03 01:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.54,0.48,1.00,0.00
2007-01-03 02:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.99,0.42,1.00,0.00
2007-01-03 03:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.64,0.37,1.00,0.00
2007-01-03 04:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.05,0.39,1.00,0.00
2007-01-03 05:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.65,0.31,1.00,0.00
2007-01-03 06:00:00,15.47,0.00,14.71,0.77,37.34,21.26,16.08,371.58,14.65,0.24,0.00,0.00
2007-01-03 07:00:00,84.78,36.58,43.22,4.98,242.92,195.66,47.26,760.93,15.53,0.19,0.00,0.00
2007-01-03 08:00:00,322.09,251.60,60.89,9.61,468.30,401.72,66.58,884.56,17.84,0.21,0.00,0.00
2007-01-03 09:00:00,561.81,473.16,74.68,13.97,681.06,599.40,81.66,944.14,20.68,0.68,0.00,0.00
2007-01-03 10:00:00,771.12,667.94,85.49,17.69,862.44,768.96,93.48,977.16,23.73,1.15,0.00,0.00
2007-01-03 11:00:00,929.46,815.78,93.21,20.48,998.18,896.26,101.92,995.83,26.36,1.76,0.00,0.00
2007-01-03 12:00:00,1020.62,901.02,97.54,22.06,1075.44,968.78,106.66,1002.49,28.59,2.47,0.00,0.00
2007-01-03 13:00:00,1039.38,918.60,98.40,22.38,1090.80,983.20,107.60,1001.77,30.08,2.99,0.00,0.00
2007-01-03 14:00:00,984.46,867.23,95.82,21.41,1043.46,938.68,104.78,994.03,30.79,3.18,0.00,0.00
2007-01-03 15:00:00,860.19,751.17,89.81,19.21,936.56,838.36,98.20,977.75,30.32,3.18,0.00,0.00
2007-01-03 16:00:00,678.04,581.42,80.64,15.98,779.04,690.86,88.18,950.69,29.51,3.17,0.00,0.00
2007-01-03 17:00:00,454.19,373.69,68.55,11.95,582.66,507.70,74.96,905.11,28.35,3.05,0.00,0.00
2007-01-03 18:00:00,215.26,154.15,53.59,7.52,366.66,308.06,58.60,828.80,26.66,2.84,0.00,0.00
2007-01-03 19:00:00,36.41,0.00,33.38,3.03,147.50,111.00,36.50,646.91,24.59,2.39,0.00,0.00
2007-01-03 20:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.21,1.82,1.00,0.00
2007-01-03 21:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.65,1.46,1.00,0.00
2007-01-03 22:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.39,1.14,1.00,0.00
2007-01-03 23:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.29,0.89,1.00,0.00
2007-01-04 00:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.22,0.65,1.00,0.00
2007-01-04 01:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.41,0.42,1.00,0.00
2007-01-04 02:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.74,0.30,1.00,0.00
2007-01-04 03:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.20,0.39,1.00,0.00
2007-01-04 04:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.40,0.54,1.00,0.00
2007-01-04 05:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.72,0.58,1.00,0.00
2007-01-04 06:00:00,14.74,0.00,14.03,0.71,34.52,19.18,15.34,351.27,14.89,0.45,0.00,0.00
2007-01-04 07:00:00,82.48,34.81,42.78,4.88,238.08,191.30,46.78,750.87,16.01,0.39,0.00,0.00
2007-01-04 08:00:00,318.72,248.69,60.52,9.51,463.56,397.38,66.18,879.22,18.39,0.19,0.00,0.00
2007-01-04 09:00:00,558.58,470.34,74.35,13.88,676.74,595.44,81.30,940.70,21.46,0.48,0.00,0.00
2007-01-04 10:00:00,768.72,665.89,85.20,17.63,859.12,765.96,93.16,975.22,24.86,0.93,0.00,0.00
2007-01-04 11:00:00,928.45,815.02,92.99,20.44,996.26,894.58,101.68,995.14,27.78,1.45,0.00,0.00
2007-01-04 12:00:00,1020.99,901.55,97.40,22.05,1074.82,968.32,106.50,1002.71,30.19,2.24,0.00,0.00
2007-01-04 13:00:00,1040.97,920.27,98.31,22.39,1091.42,983.92,107.50,1002.75,31.83,2.78,0.00,0.00
2007-01-04 14:00:00,986.97,869.78,95.75,21.44,1044.92,940.22,104.70,995.54,32.66,3.06,0.00,0.00
2007-01-04 15:00:00,864.04,754.94,89.82,19.27,939.38,841.16,98.22,980.61,32.20,3.13,0.00,0.00
2007-01-04 16:00:00,682.35,585.58,80.72,16.05,782.56,694.30,88.26,954.63,31.42,3.08,0.00,0.00
2007-01-04 17:00:00,458.27,377.58,68.66,12.03,586.26,511.18,75.08,910.14,30.46,2.95,0.00,0.00
2007-01-04 18:00:00,216.39,155.36,53.52,7.52,366.40,307.88,58.52,826.88,29.06,2.76,0.00,0.00
2007-01-04 19:00:00,36.28,0.00,33.29,2.99,145.86,109.46,36.40,636.02,27.04,2.28,0.00,0.00
2007-01-04 20:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24.54,1.71,1.00,0.00
2007-01-04 21:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.67,1.36,1.00,0.00
2007-01-04 22:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21.30,0.97,1.00,0.00
2007-01-04 23:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.12,0.65,1.00,0.00
2007-01-05 00:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.90,0.51,1.00,0.00
2007-01-05 01:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.06,0.47,1.00,0.00
2007-01-05 02:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.38,0.65,1.00,0.00
2007-01-05 03:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.96,0.82,1.00,0.00
2007-01-05 04:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.45,0.88,1.00,0.00
2007-01-05 05:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.72,0.68,1.00,0.00
2007-01-05 06:00:00,13.80,0.00,13.50,0.30,14.76,0.00,14.76,0.00,16.32,0.40,1.00,0.00
2007-01-05 07:00:00,80.76,33.39,42.54,4.84,235.72,189.20,46.52,750.08,17.17,0.41,0.00,0.00
2007-01-05 08:00:00,316.57,246.84,60.29,9.45,460.40,394.48,65.92,877.04,19.44,0.27,0.00,0.00
2007-01-05 09:00:00,556.07,468.13,74.13,13.81,673.22,592.16,81.06,938.32,22.24,0.41,0.00,0.00
2007-01-05 10:00:00,765.92,663.40,84.98,17.55,855.22,762.30,92.92,972.43,25.28,0.78,0.00,0.00
2007-01-05 11:00:00,925.20,812.09,92.77,20.35,991.86,890.42,101.44,991.78,27.99,1.26,0.00,0.00
2007-01-05 12:00:00,1017.35,898.27,97.12,21.95,1069.94,963.74,106.20,998.68,29.98,2.14,0.00,0.00
2007-01-05 13:00:00,1037.39,917.06,98.04,22.29,1086.44,979.24,107.20,998.29,31.06,2.74,0.00,0.00
2007-01-05 14:00:00,983.31,866.56,95.42,21.33,1039.76,935.42,104.34,990.40,31.81,3.14,0.00,0.00
2007-01-05 15:00:00,861.41,752.71,89.51,19.19,935.16,837.28,97.88,975.68,31.21,3.19,0.00,0.00
2007-01-05 16:00:00,680.62,584.18,80.46,15.98,779.06,691.08,87.98,949.58,30.47,3.10,0.00,0.00
2007-01-05 17:00:00,457.65,377.23,68.44,11.98,583.76,508.92,74.84,904.95,29.08,3.01,0.00,0.00
2007-01-05 18:00:00,217.96,156.95,53.48,7.53,366.82,308.34,58.48,826.68,27.91,2.95,0.00,0.00
2007-01-05 19:00:00,36.38,0.00,33.36,3.02,147.32,110.84,36.48,642.12,25.77,2.40,0.00,0.00
2007-01-05 20:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23.10,1.81,1.00,0.00
2007-01-05 21:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21.29,1.25,1.00,0.00
2007-01-05 22:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.01,0.88,1.00,0.00
2007-01-05 23:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.16,0.68,1.00,0.00
2007-01-06 00:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.29,0.55,1.00,0.00
2007-01-06 01:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.55,0.37,1.00,0.00
2007-01-06 02:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.94,0.54,1.00,0.00
2007-01-06 03:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.32,0.61,1.00,0.00
2007-01-06 04:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.80,0.63,1.00,0.00
2007-01-06 05:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.19,0.66,1.00,0.00
2007-01-06 06:00:00,13.00,0.00,12.71,0.29,13.90,0.00,13.90,0.00,14.82,0.30,1.00,0.00
2007-01-06 07:00:00,77.99,31.33,41.98,4.69,228.42,182.52,45.90,730.45,15.55,0.17,0.00,0.00
2007-01-06 08:00:00,309.68,240.82,59.63,9.23,450.12,384.92,65.20,859.96,17.85,0.24,0.00,0.00
2007-01-06 09:00:00,545.80,458.95,73.31,13.54,660.14,579.98,80.16,921.80,20.23,0.54,0.00,0.00
2007-01-06 10:00:00,752.83,651.60,84.01,17.23,839.76,747.90,91.86,955.92,23.11,1.01,0.00,0.00
2007-01-06 11:00:00,909.94,798.29,91.65,19.99,974.54,874.32,100.22,975.02,25.52,1.74,0.00,0.00
2007-01-06 12:00:00,1001.32,883.73,96.01,21.58,1051.94,946.96,104.98,982.04,27.17,2.38,0.00,0.00
2007-01-06 13:00:00,1021.04,902.19,96.94,21.91,1068.14,962.14,106.00,981.16,27.78,3.04,0.00,0.00
2007-01-06 14:00:00,967.78,852.41,94.40,20.97,1022.06,918.84,103.22,972.78,28.33,3.38,0.00,0.00
2007-01-06 15:00:00,847.38,739.94,88.60,18.84,918.50,821.62,96.88,957.03,27.71,3.62,0.00,0.00
2007-01-06 16:00:00,669.20,573.88,79.64,15.68,764.38,677.30,87.08,930.04,26.93,3.50,0.00,0.00
2007-01-06 17:00:00,449.73,370.24,67.77,11.73,571.68,497.58,74.10,883.88,25.68,3.21,0.00,0.00
2007-01-06 18:00:00,215.08,154.72,52.99,7.37,359.36,301.42,57.94,807.07,24.71,3.14,0.00,0.00
2007-01-06 19:00:00,36.06,0.00,33.11,2.96,144.18,107.98,36.20,624.30,23.07,2.56,0.00,0.00
2007-01-06 20:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21.48,2.01,1.00,0.00
2007-01-06 21:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.25,1.56,1.00,0.00
2007-01-06 22:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.27,1.21,1.00,0.00
2007-01-06 23:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.60,1.09,1.00,0.00
