,Acelerador,Autonomía,Corriente Instantanea,Odómetro,P. Cons. Ini Mov.,P. Gen. Freno Umbral 1,P. Gen. Freno Umbral 2,P. Gen. Freno Umbral 3,P. Gen. Freno Umbral 4,P. Gen. Freno Umbral 5,P. Gen. Freno Umbral 6,P. Gen. Retardador,P. Gen. TPS en uso,Pedal de Freno,Potencia Total Consumida,Potencia Total Generada,Presión Aire 1,Presión Aire 2,SOC,Temperatura de Motor,Velocidad,Voltaje Instantaneo,latitud,longitud,hora,deltaTime,travel
0,74.0,282.0,176.2,60883.5,3045.8,-397.7,-15802.2,-14969.9,-358.6,0.0,0.0,-1210.8,-382.5,0.0,97275.2,-33151.7,868.0,880.0,96.0,72.0,44.0,634.8,-33.580634,-70.581426,2020-04-08 11:55:14,0.0,0
1,0.0,396.0,15.7,60883.9,3087.7,-397.7,-15891.3,-15306.2,-358.6,0.0,0.0,-1210.8,-382.5,0.0,97988.3,-33577.3,776.0,784.0,96.0,73.0,0.0,638.4,-33.576787,-70.582162,2020-04-08 11:57:14,120.0,0
2,0.0,352.0,7.0,60884.8,3134.2,-398.0,-16088.9,-15679.0,-358.6,0.0,0.0,-1212.8,-382.9,17.0,99230.4,-34150.3,948.0,952.0,96.0,73.0,0.0,638.8,-33.569056,-70.58367,2020-04-08 12:00:14,180.0,0
3,6.0,352.0,6.8,60884.9,3154.7,-398.0,-16111.7,-15743.2,-358.6,0.0,0.0,-1212.8,-382.9,0.0,99471.3,-34237.4,872.0,880.0,96.0,72.0,0.0,638.7,-33.568357,-70.583783,2020-04-08 12:01:14,60.0,0
4,6.0,352.0,6.8,60884.9,3154.7,-398.0,-16111.7,-15743.2,-358.6,0.0,0.0,-1212.8,-382.9,0.0,99471.3,-34237.4,872.0,880.0,96.0,72.0,0.0,638.7,-33.568357,-70.583783,2020-04-08 12:01:14,0.0,0
5,94.0,390.0,35.2,60885.6,3195.3,-398.0,-16283.5,-15905.4,-358.6,0.0,0.0,-1218.9,-383.7,0.0,100660.4,-34581.9,824.0,828.0,95.0,72.0,54.0,636.3,-33.562476,-70.584927,2020-04-08 12:03:14,120.0,0
6,0.0,366.0,9.0,60886.7,3233.0,-400.9,-16460.8,-16212.2,-358.6,0.0,0.0,-1223.0,-383.7,25.0,101366.0,-35072.9,920.0,920.0,95.0,73.0,0.0,638.9,-33.553786,-70.586357,2020-04-08 12:05:14,120.0,0
7,23.0,418.0,122.1,60888.5,3297.1,-400.9,-16809.0,-16619.7,-358.6,0.0,0.0,-1237.4,-393.9,0.0,103260.1,-35853.3,836.0,840.0,95.0,76.0,49.0,636.0,-33.539008,-70.591254,2020-04-08 12:08:14,180.0,0
8,0.0,478.0,9.2,60889.8,3317.4,-405.5,-17121.1,-17029.8,-358.6,0.0,0.0,-1257.7,-400.2,16.0,104307.4,-36606.6,988.0,1000.0,95.0,76.0,0.0,638.9,-33.528857,-70.59574,2020-04-08 12:10:14,120.0,0
9,89.0,500.0,30.0,60890.2,3375.8,-405.5,-17202.8,-17235.5,-358.6,0.0,0.0,-1257.7,-400.2,0.0,105460.5,-36894.1,884.0,896.0,94.0,77.0,54.0,636.5,-33.52547,-70.597122,2020-04-08 12:12:14,120.0,0
