,Acelerador,Autonomía,Corriente Instantanea,ID Celda Max Temp,ID Celda Max Volt,ID Celda Min Temp,ID Celda Min Volt,Max Temp Celda,Max Volt Celda,Min Temp Celda,Min Volt Celda,Nivel Vent. A/C,Odómetro,P. Cons. Ini Mov.,P. Gen. Freno Umbral 1,P. Gen. Freno Umbral 2,P. Gen. Freno Umbral 3,P. Gen. Freno Umbral 4,P. Gen. Freno Umbral 5,P. Gen. Freno Umbral 6,P. Gen. Retardador,P. Gen. TPS en uso,Pastilla Del Der,Pastilla Del Izq,Pastilla Tras Der,Pastilla Tras Izq,Pedal de Freno,Potencia Total Consumida,Potencia Total Generada,Presión Aire 1,Presión Aire 2,Set Temp. A/C,SOC,Temp Exterior,Temp Interior,Temperatura de Motor,Velocidad,Voltaje Instantaneo,latitud,longitud,hora,deltaTime,travel
0,0.0,348.0,0.0,10.0,1.0,41.0,204.0,24.0,3.334,20.0,3.325,0.0,57444.0,2320.7,-406.7,-7349.2,-12966.4,-2647.4,-46.4,0.0,-834.6,-282.8,62.0,51.6,68.0,47.2,0.0,70632.6,-24557.8,828.0,828.0,23.0,86.0,16.0,17.0,0.0,0.0,639.2,-33.633191,-70.610265,2020-03-02 08:37:55,0.0,0
1,0.0,348.0,0.0,10.0,1.0,41.0,115.0,24.0,3.334,20.0,3.325,0.0,57444.0,2320.7,-406.7,-7349.2,-12966.4,-2647.4,-46.4,0.0,-834.6,-282.8,62.0,51.6,68.0,47.2,0.0,70632.6,-24557.8,828.0,828.0,23.0,86.0,16.0,17.0,0.0,0.0,639.2,-33.633191,-70.610265,2020-03-02 08:38:55,60.0,0
2,0.0,346.0,8.8,10.0,1.0,41.0,115.0,24.0,3.325,20.0,3.317,0.0,57444.0,2340.1,-406.7,-7349.2,-12966.4,-2647.4,-46.4,0.0,-834.6,-282.8,62.0,51.6,68.0,47.2,16.0,70782.7,-24557.8,828.0,824.0,23.0,86.0,17.0,17.0,0.0,26.0,637.6,-33.633227,-70.610359,2020-03-02 08:39:55,60.0,0
3,0.0,346.0,2.3,10.0,1.0,41.0,115.0,24.0,3.328,20.0,3.319,0.0,57444.1,2419.3,-409.1,-7366.6,-13012.9,-2647.4,-46.4,0.0,-838.0,-283.3,62.0,51.6,68.0,47.2,0.0,71093.9,-24628.0,1000.0,1000.0,23.0,86.0,17.0,17.0,0.0,17.0,638.0,-33.633633,-70.611009,2020-03-02 08:40:55,60.0,0
4,0.0,346.0,3.4,10.0,1.0,41.0,116.0,24.0,3.33,20.0,3.322,0.0,57444.2,2432.2,-409.2,-7405.3,-13014.5,-2647.4,-46.4,0.0,-838.0,-283.3,62.0,51.6,68.0,47.2,0.0,71127.6,-24668.3,956.0,948.0,23.0,86.0,17.0,17.0,0.0,6.0,638.7,-33.632839,-70.611165,2020-03-02 08:41:55,60.0,0
5,76.0,346.0,112.1,10.0,83.0,41.0,129.0,24.0,3.311,20.0,3.3,0.0,57444.9,2450.3,-409.2,-7405.3,-13014.5,-2647.4,-46.4,0.0,-840.6,-289.8,62.0,51.6,68.0,47.2,0.0,71987.3,-24677.4,960.0,960.0,23.0,86.0,17.0,17.0,0.0,44.0,634.9,-33.631852,-70.604593,2020-03-02 08:42:55,60.0,0
6,46.0,342.0,91.5,10.0,224.0,41.0,129.0,24.0,3.308,20.0,3.295,0.0,57445.7,2450.3,-409.2,-7405.3,-13014.5,-2647.4,-46.4,0.0,-849.4,-295.1,62.0,51.6,68.0,47.2,0.0,72733.8,-24691.4,960.0,960.0,23.0,85.0,17.0,17.0,0.0,52.0,634.1,-33.627677,-70.598325,2020-03-02 08:43:55,60.0,0
7,96.0,342.0,121.7,10.0,7.0,41.0,115.0,24.0,3.309,20.0,3.295,0.0,57446.2,2467.4,-411.4,-7459.6,-13143.9,-2725.0,-46.4,0.0,-857.3,-295.9,62.0,51.6,68.0,47.2,0.0,73368.6,-24963.7,900.0,896.0,23.0,85.0,17.0,17.0,0.0,23.0,634.3,-33.623258,-70.597904,2020-03-02 08:44:55,60.0,0
8,0.0,342.0,-6.3,9.0,1.0,41.0,115.0,24.0,3.315,20.0,3.309,0.0,57446.8,2467.4,-415.3,-7492.4,-13214.4,-2725.0,-46.4,0.0,-877.3,-299.1,62.0,51.6,68.0,47.2,0.0,74159.1,-25095.8,880.0,880.0,23.0,85.0,17.0,17.0,0.0,44.0,635.9,-33.618693,-70.598947,2020-03-02 08:45:55,60.0,0
9,4.0,342.0,0.0,9.0,1.0,41.0,115.0,24.0,3.32,20.0,3.31,0.0,57447.3,2468.8,-426.4,-7649.8,-13248.1,-2725.0,-46.4,0.0,-891.9,-303.9,62.0,51.6,68.0,47.2,0.0,74559.7,-25321.0,856.0,856.0,23.0,85.0,17.0,17.0,0.0,29.0,636.6,-33.615131,-70.598284,2020-03-02 08:46:55,60.0,0
10,16.0,342.0,4.2,10.0,1.0,41.0,115.0,24.0,3.325,20.0,3.316,0.0,57447.5,2483.3,-427.5,-7683.2,-13275.6,-2725.0,-46.4,0.0,-894.7,-303.9,62.0,51.6,68.0,47.2,0.0,74712.0,-25385.9,832.0,828.0,23.0,85.0,17.0,17.0,0.0,0.0,637.6,-33.614831,-70.596634,2020-03-02 08:47:55,60.0,0
11,0.0,342.0,137.3,9.0,1.0,41.0,115.0,24.0,3.304,20.0,3.29,0.0,57447.7,2525.6,-428.1,-7706.1,-13335.3,-2725.0,-46.4,0.0,-897.0,-304.3,62.0,51.6,68.0,47.2,0.0,75338.5,-25471.7,804.0,804.0,23.0,85.0,17.0,17.0,0.0,40.0,633.5,-33.615727,-70.59441,2020-03-02 08:48:55,60.0,0
12,0.0,246.0,-50.2,9.0,4.0,41.0,203.0,24.0,3.33,20.0,3.321,0.0,57448.1,2554.5,-431.8,-7855.2,-13474.7,-2725.0,-46.4,0.0,-905.2,-305.1,62.0,51.6,68.0,47.2,23.0,75899.3,-25773.0,988.0,972.0,23.0,84.0,17.0,17.0,0.0,10.0,638.4,-33.61651,-70.591119,2020-03-02 08:49:55,60.0,0
