Acelerador,Autonomía,Corriente Instantanea,Odómetro,P. Cons. Ini Mov.,P. Gen. Freno Umbral 1,P. Gen. Freno Umbral 2,P. Gen. Freno Umbral 3,P. Gen. Freno Umbral 4,P. Gen. Freno Umbral 5,P. Gen. Freno Umbral 6,P. Gen. Retardador,P. Gen. TPS en uso,Pedal de Freno,Potencia Total Consumida,Potencia Total Generada,Presión Aire 1,Presión Aire 2,SOC,Temperatura de Motor,Velocidad,Voltaje Instantaneo,latitud,longitud,hora
10.0,216.0,13.4,27873.2,1445.7,-669.0,-9537.0,-1989.1,0.0,0.0,0.0,-204.4,-18.6,0.0,30827.4,-12460.0,896.0,896.0,74.0,57.0,10.0,637.8,-33.436703,-70.639316,2019-08-05 17:11:41
10.0,216.0,13.4,27873.2,1445.7,-669.0,-9537.0,-1989.1,0.0,0.0,0.0,-204.4,-18.6,0.0,30827.4,-12460.0,896.0,896.0,74.0,57.0,10.0,637.8,-33.436703,-70.639316,2019-08-05 17:11:41
0.0,216.0,-35.6,27873.7,1512.2,-685.1,-9660.9,-1989.1,0.0,0.0,0.0,-204.4,-18.6,14.0,31466.0,-12600.0,884.0,896.0,74.0,59.0,9.0,638.3,-33.438285,-70.636245,2019-08-05 17:14:41
0.0,216.0,-35.6,27873.7,1512.2,-685.1,-9660.9,-1989.1,0.0,0.0,0.0,-204.4,-18.6,14.0,31466.0,-12600.0,884.0,896.0,74.0,59.0,9.0,638.3,-33.438285,-70.636245,2019-08-05 17:14:41
0.0,216.0,2.4,27873.9,1528.0,-692.4,-9771.4,-1989.1,0.0,0.0,0.0,-205.0,-18.6,0.0,31764.2,-12718.4,856.0,856.0,74.0,62.0,5.0,637.2,-33.440237,-70.635172,2019-08-05 17:15:41
0.0,216.0,2.4,27873.9,1528.0,-692.4,-9771.4,-1989.1,0.0,0.0,0.0,-205.0,-18.6,0.0,31764.2,-12718.4,856.0,856.0,74.0,62.0,5.0,637.2,-33.440237,-70.635172,2019-08-05 17:15:41
0.0,216.0,2.4,27873.9,1528.0,-692.4,-9771.4,-1989.1,0.0,0.0,0.0,-205.0,-18.6,0.0,31764.2,-12718.4,856.0,856.0,74.0,62.0,5.0,637.2,-33.440237,-70.635172,2019-08-05 17:15:41
0.0,216.0,7.9,27874.6,1566.5,-703.9,-10223.2,-1989.1,0.0,0.0,0.0,-209.1,-18.6,11.0,32650.5,-13186.8,776.0,780.0,74.0,66.0,0.0,637.0,-33.445056,-70.633001,2019-08-05 17:17:41
0.0,216.0,2.1,27874.9,1587.6,-704.7,-10393.7,-2037.1,0.0,0.0,0.0,-209.3,-19.0,11.0,33063.2,-13406.9,988.0,992.0,74.0,66.0,0.0,637.3,-33.447229,-70.632321,2019-08-05 17:18:41
0.0,216.0,2.1,27874.9,1587.6,-704.7,-10393.7,-2037.1,0.0,0.0,0.0,-209.3,-19.0,14.0,33086.3,-13406.9,972.0,980.0,74.0,66.0,0.0,637.3,-33.447229,-70.632321,2019-08-05 17:19:41
67.0,216.0,163.0,27875.0,1633.0,-704.8,-10414.1,-2140.8,0.0,0.0,0.0,-209.4,-19.0,0.0,33655.9,-13531.3,908.0,908.0,74.0,67.0,40.0,631.4,-33.448628,-70.631929,2019-08-05 17:20:41
