,Acelerador,Autonomía,Corriente Instantanea,Odómetro,P. Cons. Ini Mov.,P. Gen. Freno Umbral 1,P. Gen. Freno Umbral 2,P. Gen. Freno Umbral 3,P. Gen. Freno Umbral 4,P. Gen. Freno Umbral 5,P. Gen. Freno Umbral 6,P. Gen. Retardador,P. Gen. TPS en uso,Pedal de Freno,Potencia Total Consumida,Potencia Total Generada,Presión Aire 1,Presión Aire 2,SOC,Temperatura de Motor,Velocidad,Voltaje Instantaneo,latitud,longitud,hora,deltaTime,travel
0,0.0,348.0,0.0,27153.4,17599.2,-2687.0,-88251.2,-62620.5,-354.1,-9.3,0.0,-3603.6,-825.4,0.0,460783.0,-158602.4,872.0,856.0,87.0,43.0,0.0,639.9,-33.633491,-70.610518,2019-08-06 08:55:52,0.0,0
1,0.0,348.0,0.0,27153.4,17599.2,-2687.0,-88251.2,-62620.5,-354.1,-9.3,0.0,-3603.6,-825.4,0.0,460783.0,-158602.4,868.0,856.0,87.0,43.0,0.0,639.9,-33.633491,-70.610518,2019-08-06 08:56:52,60.0,0
2,0.0,348.0,0.0,27153.4,17599.2,-2687.0,-88251.2,-62620.5,-354.1,-9.3,0.0,-3603.6,-825.4,0.0,460783.0,-158602.4,868.0,856.0,87.0,43.0,0.0,639.9,-33.633491,-70.610518,2019-08-06 08:57:52,60.0,0
3,3.0,348.0,3.2,27153.5,17635.0,-2687.0,-88251.2,-62620.5,-354.1,-9.3,0.0,-3603.6,-825.4,0.0,460839.1,-158602.4,816.0,804.0,87.0,43.0,2.0,639.6,-33.633491,-70.610518,2019-08-06 08:58:52,60.0,0
4,15.0,348.0,22.8,27153.6,17732.4,-2687.0,-88251.2,-62620.5,-354.1,-9.3,0.0,-3603.6,-825.4,0.0,461059.7,-158602.4,816.0,800.0,87.0,44.0,19.0,638.4,-33.633638,-70.61099,2019-08-06 08:59:52,60.0,0
5,39.0,348.0,163.7,27153.8,17756.2,-2687.0,-88325.3,-62620.5,-354.1,-9.3,0.0,-3603.6,-825.4,0.0,461407.2,-158676.5,804.0,788.0,87.0,45.0,36.0,634.1,-33.632681,-70.610619,2019-08-06 09:00:52,60.0,0
6,48.0,348.0,97.2,27154.5,17756.2,-2687.0,-88325.3,-62620.5,-354.1,-9.3,0.0,-3604.5,-825.5,0.0,462197.6,-158677.4,804.0,788.0,87.0,47.0,50.0,634.2,-33.631704,-70.603782,2019-08-06 09:01:52,60.0,0
7,94.0,346.0,138.8,27155.3,17756.2,-2687.0,-88325.3,-62620.5,-354.1,-9.3,0.0,-3604.5,-825.5,0.0,462901.8,-158677.4,804.0,788.0,86.0,47.0,50.0,633.5,-33.627141,-70.598087,2019-08-06 09:02:52,60.0,0
8,0.0,346.0,10.4,27155.6,17756.2,-2687.3,-88420.4,-62745.2,-354.1,-9.3,0.0,-3605.3,-825.5,0.0,463228.7,-158898.5,908.0,896.0,86.0,48.0,0.0,637.4,-33.624276,-70.597732,2019-08-06 09:03:52,60.0,0
9,0.0,346.0,0.0,27156.0,17784.0,-2691.0,-88478.9,-62770.3,-354.1,-9.3,0.0,-3619.3,-827.0,0.0,463732.8,-159001.5,988.0,972.0,86.0,49.0,19.0,638.4,-33.620944,-70.598429,2019-08-06 09:04:52,60.0,0
