Acelerador,Código de Falla,Corriente Instantanea,Corriente Motor,ID Celda Max Temp,ID Celda Max Volt,ID Celda Min Temp,ID Celda Min Volt,Max Temp Celda,Max Volt Celda,Min Temp Celda,Min Volt Celda,Nivel Vent. A/C,Odómetro,P. Cons. Ini Mov.,P. Gen. Freno Umbral 1,P. Gen. Freno Umbral 2,P. Gen. Freno Umbral 3,P. Gen. Freno Umbral 4,P. Gen. Freno Umbral 5,P. Gen. Freno Umbral 6,P. Gen. Retardador,P. Gen. TPS en uso,Pastilla Del Der,Pastilla Del Izq,Pastilla Tras Der,Pastilla Tras Izq,Pedal de Freno,Potencia Total Accesorios,Potencia Total Comp. A/C,Potencia Total Consumida,Potencia Total Generada,Potencia Total Motor,Presión Aire 1,Presión Aire 2,RPM,Set Temp. A/C,SOC,Temp Exterior,Temp Interior,Temperatura de Motor,Velocidad,Voltaje Instantaneo,latitud,longitud,hora
0.0,,0.0,0.0,,,,,31.0,3.384,20.0,3.35,,90186.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,788.0,804.0,0.0,,72.8,,,42.0,0.0,647.2,-33.633354,-70.610689,2020-08-01 10:20:56
0.0,,9.4,0.0,11.0,178.0,41.0,38.0,24.0,3.385,16.0,3.337,0.0,90186.4,47.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.6,9.6,32.4,17.6,17.0,124.7,12.4,317.3,0.0,192.6,1000.0,1000.0,0.0,22.0,100.0,13.0,11.0,19.0,0.0,643.7,-33.633427,-70.609366,2020-08-01 10:29:20
0.0,,0.0,0.0,11.0,178.0,41.0,38.0,24.0,3.374,16.0,3.336,0.0,90186.5,101.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.6,9.6,32.4,17.6,0.0,171.4,12.4,531.4,0.0,360.0,896.0,908.0,0.0,22.0,100.0,13.0,11.0,20.0,0.0,643.0,-33.633861,-70.609044,2020-08-01 10:31:20
0.0,,5.0,0.0,11.0,178.0,41.0,38.0,24.0,3.37,16.0,3.335,0.0,90186.5,121.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.6,9.6,32.4,17.6,0.0,184.2,12.4,580.7,0.0,396.5,776.0,788.0,0.0,22.0,100.0,13.0,11.0,20.0,0.0,642.5,-33.633861,-70.609044,2020-08-01 10:33:20
0.0,,0.0,0.0,11.0,178.0,41.0,38.0,24.0,3.366,16.0,3.335,0.0,90186.5,121.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.6,9.6,32.4,17.6,0.0,244.1,12.4,640.6,0.0,396.5,988.0,1000.0,0.0,22.0,100.0,14.0,11.0,20.0,0.0,642.4,-33.633861,-70.609044,2020-08-01 10:34:20
0.0,,0.0,0.0,11.0,171.0,41.0,38.0,24.0,3.368,16.0,3.335,0.0,90186.5,121.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.6,9.6,32.4,17.6,0.0,244.1,12.4,640.6,0.0,396.5,972.0,988.0,0.0,22.0,100.0,14.0,11.0,19.0,0.0,642.5,-33.633861,-70.609044,2020-08-01 10:36:20
0.0,,0.0,0.0,11.0,171.0,41.0,38.0,24.0,3.368,16.0,3.335,0.0,90186.5,121.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.6,9.6,32.4,17.6,0.0,244.1,12.4,640.6,0.0,396.5,972.0,996.0,0.0,22.0,100.0,14.0,12.0,19.0,0.0,642.5,-33.633861,-70.609044,2020-08-01 10:38:20
0.0,,0.0,0.0,11.0,178.0,41.0,38.0,24.0,3.366,16.0,3.335,0.0,90186.5,121.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.6,9.6,32.4,17.6,0.0,244.1,12.4,640.6,0.0,396.5,972.0,988.0,0.0,22.0,100.0,14.0,12.0,19.0,0.0,642.5,-33.633861,-70.609044,2020-08-01 10:40:20
0.0,,3.6,0.0,11.0,171.0,41.0,38.0,24.0,3.359,16.0,3.33,0.0,90186.5,156.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.6,9.6,32.4,17.6,16.0,255.9,12.4,739.6,0.0,483.7,856.0,868.0,384.0,22.0,100.0,14.0,12.0,19.0,12.0,641.3,-33.63362,-70.608905,2020-08-01 10:42:20
0.0,,0.0,0.0,11.0,178.0,41.0,38.0,24.0,3.359,16.0,3.333,0.0,90186.5,156.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.6,9.6,32.4,17.6,0.0,300.9,12.4,784.5,0.0,483.7,988.0,1000.0,0.0,22.0,100.0,14.0,12.0,20.0,0.0,641.6,-33.63362,-70.608905,2020-08-01 10:43:20
