Acelerador,Autonomía,Corriente Instantanea,Odómetro,P. Cons. Ini Mov.,P. Gen. Freno Umbral 1,P. Gen. Freno Umbral 2,P. Gen. Freno Umbral 3,P. Gen. Freno Umbral 4,P. Gen. Freno Umbral 5,P. Gen. Freno Umbral 6,P. Gen. Retardador,P. Gen. TPS en uso,Pedal de Freno,Potencia Total Consumida,Potencia Total Generada,Presión Aire 1,Presión Aire 2,SOC,Temperatura de Motor,Velocidad,Voltaje Instantaneo,latitud,longitud,hora
0.0,286.0,-170.0,50311.5,13356.8,-2075.7,-70102.4,-47355.1,-388.3,0.0,0.0,-2603.1,-1371.9,25.0,344254.5,-124147.8,788.0,816.0,62.0,75.0,26.0,635.4,-33.487605,-70.618343,2019-12-02 19:33:51
0.0,406.0,-88.2,50311.7,13380.5,-2076.0,-70129.8,-47523.0,-388.3,0.0,0.0,-2603.3,-1371.9,28.0,344579.8,-124343.9,1000.0,1000.0,62.0,74.0,8.0,633.0,-33.486534,-70.6187,2019-12-02 19:34:51
0.0,400.0,-108.6,50312.2,13402.7,-2076.9,-70294.6,-47611.0,-388.3,0.0,0.0,-2623.6,-1373.5,21.0,345145.8,-124619.3,936.0,960.0,61.0,76.0,19.0,634.0,-33.482572,-70.620891,2019-12-02 19:35:51
0.0,328.0,1.6,50312.6,13418.1,-2076.9,-70370.4,-47828.3,-388.3,0.0,0.0,-2623.6,-1373.9,15.0,345715.2,-124912.9,908.0,936.0,61.0,78.0,0.0,631.2,-33.479068,-70.621838,2019-12-02 19:36:51
100.0,328.0,206.1,50312.8,13458.1,-2076.9,-70396.1,-47898.7,-388.3,0.0,0.0,-2623.6,-1373.9,0.0,346390.0,-125009.0,856.0,880.0,61.0,78.0,50.0,625.0,-33.477829,-70.622071,2019-12-02 19:37:51
0.0,286.0,1.7,50313.4,13458.1,-2078.5,-70839.4,-47930.9,-388.3,0.0,0.0,-2643.5,-1374.0,15.0,346901.4,-125507.4,836.0,868.0,61.0,79.0,0.0,631.3,-33.472369,-70.623573,2019-12-02 19:38:51
0.0,286.0,-262.3,50313.9,13477.7,-2078.8,-70896.0,-48011.7,-388.3,0.0,0.0,-2648.2,-1377.2,20.0,347569.8,-125652.9,828.0,856.0,61.0,78.0,29.0,635.2,-33.468752,-70.626003,2019-12-02 19:39:51
100.0,320.0,226.2,50314.1,13531.8,-2082.5,-71015.9,-48011.7,-388.3,0.0,0.0,-2648.2,-1377.2,0.0,347918.7,-125776.5,928.0,956.0,61.0,77.0,34.0,625.4,-33.467433,-70.626367,2019-12-02 19:40:51
0.0,320.0,-6.9,50314.8,13531.8,-2082.5,-71212.2,-48011.7,-388.3,0.0,0.0,-2658.2,-1377.5,0.0,348891.1,-125983.1,1000.0,1000.0,61.0,77.0,48.0,629.2,-33.461407,-70.628097,2019-12-02 19:41:51
100.0,256.0,245.1,50315.1,13571.0,-2082.8,-71441.2,-48079.3,-388.3,0.0,0.0,-2664.8,-1378.6,0.0,349272.8,-126287.4,916.0,948.0,60.0,77.0,22.0,625.7,-33.459227,-70.628716,2019-12-02 19:42:51
