Acelerador,Autonomía,Corriente Instantanea,Odómetro,P. Cons. Ini Mov.,P. Gen. Freno Umbral 1,P. Gen. Freno Umbral 2,P. Gen. Freno Umbral 3,P. Gen. Freno Umbral 4,P. Gen. Freno Umbral 5,P. Gen. Freno Umbral 6,P. Gen. Retardador,P. Gen. TPS en uso,Pedal de Freno,Potencia Total Consumida,Potencia Total Generada,Presión Aire 1,Presión Aire 2,SOC,Temperatura de Motor,Velocidad,Voltaje Instantaneo,latitud,longitud,hora
0.0,492.0,0.0,58880.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2,0.0,816.0,840.0,100.0,22.0,0.0,647.8,-33.633041,-70.610235,2020-01-02 05:01:22
0.0,492.0,0.0,58880.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2,0.0,816.0,840.0,100.0,22.0,0.0,647.7,-33.633041,-70.610235,2020-01-02 05:02:22
0.0,492.0,0.0,58880.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2,0.0,816.0,840.0,100.0,22.0,0.0,647.5,-33.633041,-70.610235,2020-01-02 05:03:22
0.0,492.0,0.0,58880.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2,0.0,816.0,840.0,100.0,22.0,0.0,647.4,-33.633041,-70.610235,2020-01-02 05:04:22
0.0,492.0,0.0,58880.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2,0.0,816.0,840.0,100.0,22.0,0.0,647.1,-33.633041,-70.610235,2020-01-02 05:06:22
0.0,492.0,0.0,58880.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2,0.0,816.0,832.0,100.0,22.0,0.0,647.0,-33.633041,-70.610235,2020-01-02 05:07:22
0.0,492.0,0.0,58880.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2,0.0,816.0,840.0,100.0,22.0,0.0,646.9,-33.633041,-70.610235,2020-01-02 05:08:22
0.0,492.0,0.0,58880.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2,0.0,816.0,832.0,100.0,22.0,0.0,646.7,-33.633041,-70.610235,2020-01-02 05:09:22
0.0,492.0,0.0,58880.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2,0.0,816.0,840.0,100.0,22.0,0.0,646.6,-33.633041,-70.610235,2020-01-02 05:10:22
0.0,492.0,0.0,58880.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2,0.0,816.0,840.0,100.0,22.0,0.0,646.5,-33.633041,-70.610235,2020-01-02 05:11:22
0.0,492.0,0.0,58880.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2,0.0,816.0,840.0,100.0,22.0,0.0,646.4,-33.633041,-70.610235,2020-01-02 05:12:22
0.0,492.0,0.0,58880.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2,0.0,816.0,840.0,100.0,22.0,0.0,646.3,-33.633041,-70.610235,2020-01-02 05:13:22
0.0,492.0,0.0,58880.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2,0.0,816.0,840.0,100.0,22.0,0.0,646.1,-33.633041,-70.610235,2020-01-02 05:14:22
0.0,492.0,0.0,58880.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2,0.0,816.0,840.0,100.0,22.0,0.0,646.0,-33.633041,-70.610235,2020-01-02 05:15:22
