Acelerador,Corriente Instantanea,Corriente Motor,ID Celda Max Temp,ID Celda Max Volt,ID Celda Min Temp,ID Celda Min Volt,Max Temp Celda,Max Volt Celda,Min Temp Celda,Min Volt Celda,Nivel Vent. A/C,Odómetro,P. Cons. Ini Mov.,P. Gen. Freno Umbral 1,P. Gen. Freno Umbral 2,P. Gen. Freno Umbral 3,P. Gen. Freno Umbral 4,P. Gen. Freno Umbral 5,P. Gen. Freno Umbral 6,P. Gen. Retardador,P. Gen. TPS en uso,Pastilla Del Der,Pastilla Del Izq,Pastilla Tras Der,Pastilla Tras Izq,Pedal de Freno,Potencia Total Accesorios,Potencia Total Comp. A/C,Potencia Total Consumida,Potencia Total Generada,Potencia Total Motor,Presión Aire 1,Presión Aire 2,RPM,Set Temp. A/C,SOC,Temp Exterior,Temp Interior,Temperatura de Motor,Velocidad,Voltaje Instantaneo,latitud,longitud,hora
0.0,0.0,0.0,28.0,214.0,65.0,53.0,27.0,3.426,17.0,3.349,0.0,76268.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,22.0,30.8,21.2,0.0,0.1,0.0,0.1,0.0,0.0,920.0,936.0,0.0,24.0,100.0,7.0,8.0,20.0,0.0,647.0,-33.633682,-70.610525,2020-07-01 04:17:01
0.0,0.0,0.0,28.0,214.0,65.0,53.0,27.0,3.422,17.0,3.348,0.0,76268.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,22.0,30.8,21.2,0.0,0.1,0.0,0.1,0.0,0.0,908.0,920.0,0.0,24.0,100.0,7.0,8.0,20.0,0.0,646.8,-33.633682,-70.610525,2020-07-01 04:19:01
0.0,0.0,0.0,28.0,214.0,41.0,53.0,27.0,3.421,17.0,3.348,0.0,76268.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,22.0,30.8,21.2,0.0,0.1,0.0,0.1,0.0,0.0,908.0,920.0,0.0,24.0,100.0,7.0,8.0,20.0,0.0,646.8,-33.633682,-70.610525,2020-07-01 04:20:01
0.0,0.0,0.0,28.0,214.0,41.0,53.0,27.0,3.419,17.0,3.346,0.0,76268.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,22.0,30.8,21.2,0.0,0.1,0.0,0.1,0.0,0.0,908.0,920.0,0.0,24.0,100.0,7.0,8.0,20.0,0.0,646.6,-33.633682,-70.610525,2020-07-01 04:22:01
0.0,0.0,0.0,28.0,214.0,41.0,53.0,27.0,3.415,17.0,3.345,0.0,76268.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,22.0,30.8,21.2,0.0,0.1,0.0,0.1,0.0,0.0,908.0,920.0,0.0,24.0,100.0,7.0,8.0,20.0,0.0,646.4,-33.633682,-70.610525,2020-07-01 04:24:01
0.0,0.0,0.0,28.0,214.0,41.0,53.0,27.0,3.415,17.0,3.345,0.0,76268.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,22.0,30.8,21.2,0.0,0.1,0.0,0.1,0.0,0.0,908.0,920.0,0.0,24.0,100.0,7.0,8.0,20.0,0.0,646.3,-33.633682,-70.610525,2020-07-01 04:25:01
0.0,0.0,0.0,28.0,214.0,41.0,53.0,27.0,3.411,17.0,3.345,0.0,76268.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,22.0,30.8,21.2,0.0,0.1,0.0,0.1,0.0,0.0,908.0,920.0,0.0,24.0,100.0,7.0,8.0,20.0,0.0,646.1,-33.633682,-70.610525,2020-07-01 04:27:01
0.0,0.0,0.0,28.0,214.0,41.0,53.0,27.0,3.41,17.0,3.345,0.0,76268.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,22.0,30.8,21.2,0.0,0.1,0.0,0.1,0.0,0.0,908.0,920.0,0.0,24.0,100.0,7.0,8.0,20.0,0.0,645.9,-33.633682,-70.610525,2020-07-01 04:29:01
0.0,0.0,0.0,28.0,214.0,41.0,53.0,27.0,3.409,17.0,3.345,0.0,76268.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,22.0,30.8,21.2,0.0,0.1,0.0,0.1,0.0,0.0,908.0,924.0,0.0,24.0,100.0,7.0,8.0,20.0,0.0,645.8,-33.633682,-70.610525,2020-07-01 04:30:01
0.0,0.0,0.0,28.0,214.0,41.0,53.0,27.0,3.406,17.0,3.344,0.0,76268.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,22.0,30.8,21.2,0.0,0.1,0.0,0.1,0.0,0.0,908.0,920.0,0.0,24.0,100.0,7.0,8.0,20.0,0.0,645.7,-33.633682,-70.610525,2020-07-01 04:32:01
0.0,0.0,0.0,28.0,214.0,41.0,53.0,27.0,3.405,17.0,3.344,0.0,76268.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,22.0,30.8,21.2,0.0,0.1,0.0,0.1,0.0,0.0,908.0,920.0,0.0,24.0,100.0,7.0,8.0,20.0,0.0,645.6,-33.633682,-70.610525,2020-07-01 04:34:01
0.0,0.0,0.0,28.0,214.0,41.0,53.0,27.0,3.402,17.0,3.342,0.0,76268.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,22.0,30.8,21.2,0.0,0.1,0.0,0.1,0.0,0.0,908.0,920.0,0.0,24.0,100.0,7.0,8.0,20.0,0.0,645.4,-33.633682,-70.610525,2020-07-01 04:36:01
0.0,0.0,0.0,28.0,214.0,41.0,53.0,27.0,3.4,17.0,3.342,0.0,76268.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,22.0,30.8,21.2,0.0,0.1,0.0,0.1,0.0,0.0,908.0,920.0,0.0,24.0,100.0,7.0,8.0,20.0,0.0,645.3,-33.633682,-70.610525,2020-07-01 04:37:01
