Acelerador,Corriente Instantanea,Corriente Motor,ID Celda Max Temp,ID Celda Max Volt,ID Celda Min Temp,ID Celda Min Volt,Max Temp Celda,Max Volt Celda,Min Temp Celda,Min Volt Celda,Nivel Vent. A/C,Odómetro,P. Cons. Ini Mov.,P. Gen. Freno Umbral 1,P. Gen. Freno Umbral 2,P. Gen. Freno Umbral 3,P. Gen. Freno Umbral 4,P. Gen. Freno Umbral 5,P. Gen. Freno Umbral 6,P. Gen. Retardador,P. Gen. TPS en uso,Pastilla Del Der,Pastilla Del Izq,Pastilla Tras Der,Pastilla Tras Izq,Pedal de Freno,Potencia Total Accesorios,Potencia Total Comp. A/C,Potencia Total Consumida,Potencia Total Generada,Potencia Total Motor,Presión Aire 1,Presión Aire 2,RPM,Set Temp. A/C,SOC,Temp Exterior,Temp Interior,Temperatura de Motor,Velocidad,Voltaje Instantaneo,latitud,longitud,hora
63.0,4.9,48.0,24.0,157.0,49.0,44.0,27.0,3.322,21.0,3.306,0.0,69964.5,2044.2,-444.0,-6445.6,-12017.9,-4367.9,-165.9,0.0,-988.1,-205.5,46.4,31.6,36.0,28.0,0.0,7362.7,0.0,74557.4,-24660.1,67194.7,944.0,960.0,1599.0,21.0,99.6,22.0,19.0,49.0,53.0,636.0,-33.628508,-70.598812,2020-06-01 12:20:11
0.0,3.0,0.0,24.0,188.0,49.0,153.0,27.0,3.32,21.0,3.311,0.0,69966.0,2044.2,-444.0,-6445.6,-12017.9,-4367.9,-165.9,0.0,-988.1,-205.5,46.4,32.0,36.0,28.0,24.0,7423.6,0.0,76210.7,-24660.1,68787.1,888.0,908.0,1061.0,21.0,98.8,22.0,19.0,51.0,35.0,636.6,-33.616374,-70.599637,2020-06-01 12:22:12
86.0,60.3,80.0,24.0,71.0,49.0,23.0,27.0,3.325,21.0,3.317,0.0,69966.4,2101.5,-444.0,-6445.6,-12017.9,-4367.9,-165.9,0.0,-988.1,-205.5,46.4,32.4,36.0,28.0,0.0,7479.1,0.0,76669.4,-24660.1,69190.4,816.0,840.0,384.0,21.0,98.8,22.0,19.0,51.0,12.0,637.2,-33.614956,-70.597422,2020-06-01 12:24:12
0.0,11.8,2.0,24.0,109.0,49.0,23.0,27.0,3.324,21.0,3.317,0.0,69966.5,2120.0,-444.0,-6445.6,-12017.9,-4367.9,-165.9,0.0,-988.1,-205.5,46.4,32.4,36.0,28.0,0.0,7524.4,0.0,76930.1,-24660.1,69405.7,860.0,880.0,28.0,21.0,98.8,22.0,19.0,52.0,1.0,637.5,-33.614846,-70.596401,2020-06-01 12:25:12
14.0,144.3,83.0,24.0,205.0,49.0,177.0,27.0,3.305,21.0,3.29,0.0,69967.2,2163.6,-444.0,-6445.6,-12017.9,-4367.9,-165.9,0.0,-988.1,-205.5,46.4,32.4,36.0,28.0,0.0,7595.0,0.0,78484.3,-24660.1,70889.4,880.0,896.0,861.0,21.0,98.4,22.0,19.0,56.0,28.0,633.4,-33.616301,-70.590001,2020-06-01 12:27:12
62.0,43.5,96.0,24.0,188.0,49.0,23.0,27.0,3.315,21.0,3.308,3.0,69968.1,2186.4,-455.6,-6565.6,-12149.0,-4389.2,-165.9,0.0,-1009.6,-218.9,46.4,32.4,36.0,28.0,0.0,7702.2,0.0,80221.7,-24978.9,72519.5,920.0,944.0,742.0,21.0,97.6,22.0,20.0,60.0,24.0,635.8,-33.614523,-70.581278,2020-06-01 12:29:12
0.0,-116.3,-116.0,23.0,188.0,49.0,58.0,27.0,3.314,21.0,3.305,3.0,69968.6,2186.4,-461.0,-6666.7,-12272.8,-4426.8,-165.9,0.0,-1032.9,-226.6,46.4,32.4,36.0,28.8,19.0,7745.2,0.0,81456.5,-25279.2,73711.3,920.0,936.0,1328.0,21.0,97.6,22.0,20.0,63.0,44.0,637.0,-33.613912,-70.575823,2020-06-01 12:30:12
0.0,9.4,0.0,24.0,71.0,49.0,177.0,27.0,3.319,21.0,3.297,3.0,69969.2,2286.3,-474.6,-6786.2,-12550.7,-4450.2,-165.9,0.0,-1043.8,-231.4,46.4,32.4,36.0,28.0,16.0,7887.2,89.5,82438.9,-25729.3,74551.8,812.0,828.0,597.0,21.0,97.2,22.0,21.0,66.0,19.0,637.0,-33.610402,-70.574886,2020-06-01 12:32:12
100.0,212.5,209.0,24.0,71.0,49.0,81.0,27.0,3.3,21.0,3.283,3.0,69969.5,2357.7,-480.3,-6830.9,-12716.5,-4468.6,-165.9,0.0,-1045.0,-231.4,46.4,32.4,36.0,28.4,0.0,8055.5,175.7,83354.0,-25965.2,75298.5,960.0,972.0,1258.0,21.0,97.2,22.0,19.0,66.0,41.0,632.3,-33.60783,-70.5754,2020-06-01 12:34:12
0.0,-167.3,-175.0,23.0,129.0,49.0,69.0,27.0,3.36,21.0,3.341,3.0,69970.1,2360.2,-489.2,-6904.1,-13045.5,-4511.4,-165.9,0.0,-1052.7,-231.4,46.4,32.0,36.0,28.0,30.0,8090.0,175.7,84045.4,-26428.0,75955.4,908.0,936.0,606.0,21.0,97.2,22.0,19.0,67.0,20.0,642.2,-33.60344,-70.577021,2020-06-01 12:35:12
