Acelerador,Corriente Instantanea,Odómetro,P. Cons. Ini Mov.,P. Gen. Freno Umbral 1,P. Gen. Freno Umbral 2,P. Gen. Freno Umbral 3,P. Gen. Freno Umbral 4,P. Gen. Freno Umbral 5,P. Gen. Freno Umbral 6,P. Gen. Retardador,P. Gen. TPS en uso,Pedal de Freno,Potencia Total Consumida,Potencia Total Generada,Presión Aire 1,Presión Aire 2,SOC,Temperatura de Motor,Velocidad,Voltaje Instantaneo,latitud,longitud,hora
0.0,0.0,70607.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,888.0,920.0,100.0,24.0,0.0,641.2,-33.633111,-70.610394,2020-03-01 15:13:37
0.0,0.0,70607.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,896.0,912.0,100.0,24.0,0.0,641.2,-33.633111,-70.610394,2020-03-01 15:14:37
0.0,0.0,70607.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,896.0,920.0,100.0,24.0,0.0,641.2,-33.633111,-70.610394,2020-03-01 15:15:37
0.0,0.0,70607.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,896.0,920.0,100.0,24.0,0.0,641.1,-33.633111,-70.610394,2020-03-01 15:16:37
0.0,0.0,70607.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,896.0,912.0,100.0,24.0,0.0,641.1,-33.633111,-70.610394,2020-03-01 15:17:37
0.0,0.0,70607.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,896.0,920.0,100.0,24.0,0.0,641.0,-33.633111,-70.610394,2020-03-01 15:18:37
0.0,0.0,70607.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,896.0,916.0,100.0,24.0,0.0,641.0,-33.633111,-70.610394,2020-03-01 15:19:37
0.0,0.0,70607.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,892.0,916.0,100.0,24.0,0.0,641.0,-33.633111,-70.610394,2020-03-01 15:20:37
0.0,0.0,70607.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,896.0,916.0,100.0,24.0,0.0,641.0,-33.633111,-70.610394,2020-03-01 15:21:37
0.0,0.0,70607.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,896.0,912.0,100.0,24.0,0.0,641.0,-33.633111,-70.610394,2020-03-01 15:22:37
