Odómetro,Voltaje Instantaneo,Corriente Instantanea,Potencia Total Generada,P. Gen. Retardador,P. Gen. Freno Umbral 1,P. Gen. Freno Umbral 2,P. Gen. Freno Umbral 3,P. Gen. Freno Umbral 4,P. Gen. Freno Umbral 5,P. Gen. Freno Umbral 6,Temperatura de Motor,P. Gen. TPS en uso,Potencia Total Consumida,P. Cons. Ini Mov.,Velocidad,Acelerador,Pedal de Freno,Presión Aire 1,Presión Aire 2,SOC,latitud,longitud,hora
60761.8,640.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,100.0,-33.632969,-70.610303,2020-03-01 15:10:48
60761.8,640.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,100.0,-33.632969,-70.610303,2020-03-01 15:11:48
60761.8,640.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,100.0,-33.632969,-70.610303,2020-03-01 15:12:48
60761.8,640.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,100.0,-33.632969,-70.610303,2020-03-01 15:13:48
60761.8,640.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,100.0,-33.632969,-70.610303,2020-03-01 15:14:48
60761.8,640.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,100.0,-33.632969,-70.610303,2020-03-01 15:15:48
60761.8,640.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,100.0,-33.632969,-70.610303,2020-03-01 15:16:48
60761.8,640.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,100.0,-33.632969,-70.610303,2020-03-01 15:17:48
60761.8,640.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,100.0,-33.632969,-70.610303,2020-03-01 15:18:48
60761.8,640.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,100.0,-33.632969,-70.610303,2020-03-01 15:24:48
