Acelerador,Corriente Instantanea,Odómetro,P. Cons. Ini Mov.,P. Gen. Freno Umbral 1,P. Gen. Freno Umbral 2,P. Gen. Freno Umbral 3,P. Gen. Freno Umbral 4,P. Gen. Freno Umbral 5,P. Gen. Freno Umbral 6,P. Gen. Retardador,P. Gen. TPS en uso,Pedal de Freno,Potencia Total Consumida,Potencia Total Generada,Presión Aire 1,Presión Aire 2,SOC,Temperatura de Motor,Velocidad,Voltaje Instantaneo,latitud,longitud,hora
0.0,9.3,42767.1,69047.5,-17349.3,-411319.6,-194443.8,-1162.7,0.0,0.0,-11836.1,-4508.8,5.0,1827215.0,-642251.3,936.0,960.0,87.0,70.0,2.0,637.8,-33.633467,-70.610558,2019-10-18 06:37:27
0.0,9.3,42767.1,69047.5,-17349.3,-411319.6,-194443.8,-1162.7,0.0,0.0,-11836.1,-4508.8,5.0,1827215.0,-642251.3,936.0,960.0,87.0,70.0,2.0,637.8,-33.633467,-70.610558,2019-10-18 06:37:27
0.0,9.3,42767.1,69047.5,-17349.3,-411319.6,-194443.8,-1162.7,0.0,0.0,-11836.1,-4508.8,5.0,1827215.0,-642251.3,936.0,960.0,87.0,70.0,2.0,637.8,-33.633467,-70.610558,2019-10-18 06:37:27
0.0,9.3,42767.1,69047.5,-17349.3,-411319.6,-194443.8,-1162.7,0.0,0.0,-11836.1,-4508.8,5.0,1827215.0,-642251.3,936.0,960.0,87.0,70.0,2.0,637.8,-33.633467,-70.610558,2019-10-18 06:37:27
0.0,9.3,42767.1,69047.5,-17349.3,-411319.6,-194443.8,-1162.7,0.0,0.0,-11836.1,-4508.8,5.0,1827215.0,-642251.3,936.0,960.0,87.0,70.0,2.0,637.8,-33.633467,-70.610558,2019-10-18 06:37:27
0.0,9.3,42767.1,69047.5,-17349.3,-411319.6,-194443.8,-1162.7,0.0,0.0,-11836.1,-4508.8,5.0,1827215.0,-642251.3,936.0,960.0,87.0,70.0,2.0,637.8,-33.633467,-70.610558,2019-10-18 06:37:27
0.0,9.3,42767.1,69047.5,-17349.3,-411319.6,-194443.8,-1162.7,0.0,0.0,-11836.1,-4508.8,5.0,1827215.0,-642251.3,936.0,960.0,87.0,70.0,2.0,637.8,-33.633467,-70.610558,2019-10-18 06:37:27
0.0,9.3,42767.1,69047.5,-17349.3,-411319.6,-194443.8,-1162.7,0.0,0.0,-11836.1,-4508.8,5.0,1827215.0,-642251.3,936.0,960.0,87.0,70.0,2.0,637.8,-33.633467,-70.610564,2019-10-18 07:33:32
0.0,0.0,42767.2,69049.5,-17349.3,-411319.6,-194443.8,-1162.7,0.0,0.0,-11836.1,-4508.8,0.0,1827277.8,-642251.3,960.0,984.0,87.0,54.0,0.0,639.3,-33.633467,-70.610564,2019-10-18 07:33:32
0.0,0.0,42767.2,69049.5,-17349.3,-411319.6,-194443.8,-1162.7,0.0,0.0,-11836.1,-4508.8,0.0,1827277.8,-642251.3,960.0,984.0,87.0,54.0,0.0,639.3,-33.633467,-70.610564,2019-10-18 07:33:32
0.0,0.0,42767.2,69049.5,-17349.3,-411319.6,-194443.8,-1162.7,0.0,0.0,-11836.1,-4508.8,0.0,1827277.8,-642251.3,868.0,896.0,87.0,45.0,0.0,639.9,-33.633438,-70.610619,2019-10-18 07:34:32
0.0,0.0,42767.2,69049.5,-17349.3,-411319.6,-194443.8,-1162.7,0.0,0.0,-11836.1,-4508.8,0.0,1827277.8,-642251.3,868.0,896.0,87.0,45.0,0.0,639.9,-33.633438,-70.610619,2019-10-18 07:35:32
0.0,0.0,42767.2,69049.5,-17349.3,-411319.6,-194443.8,-1162.7,0.0,0.0,-11836.1,-4508.8,0.0,1827277.8,-642251.3,876.0,896.0,87.0,45.0,0.0,639.9,-33.633438,-70.610619,2019-10-18 07:37:32
0.0,0.0,42767.2,69049.5,-17349.3,-411319.6,-194443.8,-1162.7,0.0,0.0,-11836.1,-4508.8,14.0,1827277.8,-642251.3,828.0,856.0,87.0,45.0,0.0,639.9,-33.633438,-70.610619,2019-10-18 07:38:32
0.0,-7.9,42767.2,69088.4,-17349.3,-411319.8,-194443.8,-1162.7,0.0,0.0,-11836.1,-4508.8,16.0,1827367.8,-642251.5,872.0,896.0,87.0,45.0,14.0,639.0,-33.633438,-70.610619,2019-10-18 07:39:32
0.0,-7.9,42767.2,69088.4,-17349.3,-411319.8,-194443.8,-1162.7,0.0,0.0,-11836.1,-4508.8,16.0,1827367.8,-642251.5,872.0,896.0,87.0,45.0,14.0,639.0,-33.633438,-70.610619,2019-10-18 07:39:32
38.0,126.9,42767.4,69133.0,-17354.7,-411430.3,-194443.8,-1162.7,0.0,0.0,-11839.1,-4508.8,0.0,1827738.6,-642369.4,944.0,964.0,87.0,48.0,14.0,636.3,-33.632815,-70.611113,2019-10-18 07:40:32
38.0,134.4,42769.1,69133.0,-17354.7,-411430.3,-194443.8,-1162.7,0.0,0.0,-11839.1,-4508.8,0.0,1827738.6,-642369.4,944.0,964.0,87.0,48.0,14.0,636.3,-33.626112,-70.59777,2019-10-18 07:42:32
90.0,134.4,42769.1,69133.0,-17354.7,-411430.3,-194443.8,-1162.7,0.0,0.0,-11839.1,-4508.8,0.0,1829681.1,-642369.4,948.0,968.0,86.0,51.0,51.0,632.9,-33.626112,-70.59777,2019-10-18 07:42:32
0.0,2.1,42770.2,69162.5,-17397.2,-411716.6,-194866.4,-1162.7,0.0,0.0,-11867.3,-4522.2,0.0,1831491.5,-643173.4,816.0,840.0,86.0,60.0,27.0,637.0,-33.616502,-70.599562,2019-10-18 07:44:32
0.0,2.1,42770.2,69162.5,-17397.2,-411716.6,-194866.4,-1162.7,0.0,0.0,-11867.3,-4522.2,0.0,1831491.5,-643173.4,816.0,840.0,86.0,60.0,27.0,637.0,-33.616502,-70.599562,2019-10-18 07:44:32
0.0,8.5,42770.5,69181.3,-17402.4,-411839.2,-194876.7,-1162.7,0.0,0.0,-11878.2,-4522.7,15.0,1831908.0,-643327.2,944.0,960.0,86.0,61.0,0.0,637.2,-33.615096,-70.598117,2019-10-18 07:45:32
0.0,2.3,42770.5,69262.0,-17402.9,-411840.8,-194876.7,-1162.7,0.0,0.0,-11878.2,-4522.7,11.0,1832044.0,-643329.1,972.0,1000.0,86.0,59.0,1.0,637.6,-33.614987,-70.597522,2019-10-18 07:46:32
0.0,2.3,42770.5,69262.0,-17402.9,-411840.8,-194876.7,-1162.7,0.0,0.0,-11878.2,-4522.7,11.0,1832044.0,-643329.1,972.0,1000.0,86.0,59.0,1.0,637.6,-33.614987,-70.597522,2019-10-18 07:46:32
0.0,2.3,42770.5,69262.0,-17402.9,-411840.8,-194876.7,-1162.7,0.0,0.0,-11878.2,-4522.7,11.0,1832044.0,-643329.1,972.0,1000.0,86.0,59.0,1.0,637.6,-33.614987,-70.597522,2019-10-18 07:46:32
0.0,2.3,42770.5,69262.0,-17402.9,-411840.8,-194876.7,-1162.7,0.0,0.0,-11878.2,-4522.7,11.0,1832044.0,-643329.1,972.0,1000.0,86.0,59.0,1.0,637.6,-33.614987,-70.597522,2019-10-18 07:46:32
0.0,2.3,42770.5,69262.0,-17402.9,-411840.8,-194876.7,-1162.7,0.0,0.0,-11878.2,-4522.7,11.0,1832044.0,-643329.1,972.0,1000.0,86.0,59.0,1.0,637.6,-33.614001,-70.576225,2019-10-18 07:53:32
0.0,2.3,42772.7,69477.2,-17429.8,-412554.4,-195769.8,-1162.7,0.0,0.0,-11899.6,-4542.7,21.0,1837139.1,-645005.9,908.0,936.0,85.0,72.0,0.0,636.2,-33.614001,-70.576225,2019-10-18 07:53:32
0.0,2.3,42772.7,69477.2,-17429.8,-412554.4,-195769.8,-1162.7,0.0,0.0,-11899.6,-4542.7,21.0,1837139.1,-645005.9,908.0,936.0,85.0,72.0,0.0,636.2,-33.614001,-70.576225,2019-10-18 07:53:32
0.0,2.3,42772.7,69477.2,-17429.8,-412554.4,-195769.8,-1162.7,0.0,0.0,-11899.6,-4542.7,21.0,1837139.1,-645005.9,908.0,936.0,85.0,72.0,0.0,636.2,-33.614001,-70.576225,2019-10-18 07:53:32
0.0,2.3,42772.7,69477.2,-17429.8,-412554.4,-195769.8,-1162.7,0.0,0.0,-11899.6,-4542.7,21.0,1837139.1,-645005.9,908.0,936.0,85.0,72.0,0.0,636.2,-33.614001,-70.576225,2019-10-18 07:53:32
0.0,1.9,42772.8,69497.8,-17433.7,-412605.3,-195775.2,-1162.7,0.0,0.0,-11899.6,-4542.7,24.0,1837341.6,-645066.6,856.0,872.0,85.0,73.0,0.0,637.2,-33.61389,-70.575535,2019-10-18 07:54:32
0.0,1.9,42772.8,69497.8,-17433.7,-412605.3,-195775.2,-1162.7,0.0,0.0,-11899.6,-4542.7,24.0,1837341.6,-645066.6,856.0,872.0,85.0,73.0,0.0,637.2,-33.61389,-70.575535,2019-10-18 07:54:32
0.0,1.9,42772.8,69497.8,-17433.7,-412605.3,-195775.2,-1162.7,0.0,0.0,-11899.6,-4542.7,24.0,1837341.6,-645066.6,856.0,872.0,85.0,73.0,0.0,637.2,-33.61389,-70.575535,2019-10-18 07:54:32
0.0,1.9,42772.8,69497.8,-17433.7,-412605.3,-195775.2,-1162.7,0.0,0.0,-11899.6,-4542.7,24.0,1837341.6,-645066.6,856.0,872.0,85.0,73.0,0.0,637.2,-33.61389,-70.575535,2019-10-18 07:54:32
0.0,1.9,42772.8,69497.8,-17433.7,-412605.3,-195775.2,-1162.7,0.0,0.0,-11899.6,-4542.7,24.0,1837341.6,-645066.6,856.0,872.0,85.0,73.0,0.0,637.2,-33.613761,-70.574795,2019-10-18 07:55:32
0.0,-68.3,42772.9,69520.3,-17434.8,-412636.7,-195775.2,-1162.7,0.0,0.0,-11902.5,-4542.7,22.0,1837572.9,-645101.6,832.0,868.0,85.0,69.0,14.0,638.2,-33.613761,-70.574795,2019-10-18 07:55:32
0.0,-68.3,42772.9,69520.3,-17434.8,-412636.7,-195775.2,-1162.7,0.0,0.0,-11902.5,-4542.7,22.0,1837572.9,-645101.6,832.0,868.0,85.0,69.0,14.0,638.2,-33.613761,-70.574795,2019-10-18 07:55:32
0.0,-68.3,42772.9,69520.3,-17434.8,-412636.7,-195775.2,-1162.7,0.0,0.0,-11902.5,-4542.7,22.0,1837572.9,-645101.6,832.0,868.0,85.0,69.0,14.0,638.2,-33.613761,-70.574795,2019-10-18 07:55:32
0.0,-68.3,42772.9,69520.3,-17434.8,-412636.7,-195775.2,-1162.7,0.0,0.0,-11902.5,-4542.7,22.0,1837572.9,-645101.6,832.0,868.0,85.0,69.0,14.0,638.2,-33.613761,-70.574795,2019-10-18 07:55:32
0.0,-68.3,42772.9,69520.3,-17434.8,-412636.7,-195775.2,-1162.7,0.0,0.0,-11902.5,-4542.7,22.0,1837572.9,-645101.6,832.0,868.0,85.0,69.0,14.0,638.2,-33.611599,-70.574552,2019-10-18 07:56:32
52.0,129.3,42773.2,69568.0,-17439.8,-412791.4,-195840.8,-1162.7,0.0,0.0,-11912.7,-4546.5,0.0,1838283.9,-645340.4,800.0,816.0,85.0,70.0,11.0,634.5,-33.611599,-70.574552,2019-10-18 07:56:32
52.0,129.3,42773.2,69568.0,-17439.8,-412791.4,-195840.8,-1162.7,0.0,0.0,-11912.7,-4546.5,0.0,1838283.9,-645340.4,800.0,816.0,85.0,70.0,11.0,634.5,-33.611599,-70.574552,2019-10-18 07:56:32
52.0,129.3,42773.2,69568.0,-17439.8,-412791.4,-195840.8,-1162.7,0.0,0.0,-11912.7,-4546.5,0.0,1838283.9,-645340.4,800.0,816.0,85.0,70.0,11.0,634.5,-33.611599,-70.574552,2019-10-18 07:56:32
52.0,129.3,42773.2,69568.0,-17439.8,-412791.4,-195840.8,-1162.7,0.0,0.0,-11912.7,-4546.5,0.0,1838283.9,-645340.4,800.0,816.0,85.0,70.0,11.0,634.5,-33.611599,-70.574552,2019-10-18 07:56:32
52.0,129.3,42773.2,69568.0,-17439.8,-412791.4,-195840.8,-1162.7,0.0,0.0,-11912.7,-4546.5,0.0,1838283.9,-645340.4,800.0,816.0,85.0,70.0,11.0,634.5,-33.611599,-70.574552,2019-10-18 07:56:32
52.0,129.3,42773.2,69568.0,-17439.8,-412791.4,-195840.8,-1162.7,0.0,0.0,-11912.7,-4546.5,0.0,1838283.9,-645340.4,800.0,816.0,85.0,70.0,11.0,634.5,-33.611599,-70.574552,2019-10-18 07:56:32
52.0,129.3,42773.2,69568.0,-17439.8,-412791.4,-195840.8,-1162.7,0.0,0.0,-11912.7,-4546.5,0.0,1838283.9,-645340.4,800.0,816.0,85.0,70.0,11.0,634.5,-33.611599,-70.574552,2019-10-18 07:56:32
52.0,129.3,42773.2,69568.0,-17439.8,-412791.4,-195840.8,-1162.7,0.0,0.0,-11912.7,-4546.5,0.0,1838283.9,-645340.4,800.0,816.0,85.0,70.0,11.0,634.5,-33.611599,-70.574552,2019-10-18 07:56:32
